ImageId,BuildingId,X,Y
0,1,164,404
0,1,171,398
0,1,171,398
0,1,171,404
0,1,164,404
0,2,3,270
0,2,13,261
0,2,25,274
0,2,15,283
0,2,3,270
0,3,1,141
0,3,4,138
0,3,18,152
0,3,7,163
0,3,1,156
0,3,1,141
0,4,14,157
0,4,21,151
0,4,28,159
0,4,22,165
0,4,14,157
0,5,93,260
0,5,103,250
0,5,116,264
0,5,106,273
0,5,93,260
0,6,0,41
0,6,5,46
0,6,0,51
0,6,0,41
0,7,53,341
0,7,65,353
0,7,55,363
0,7,43,350
0,7,53,341
0,8,103,47
0,8,117,23
0,8,135,34
0,8,121,58
0,8,103,47
0,9,136,166
0,9,144,160
0,9,150,167
0,9,143,173
0,9,136,166
0,10,88,189
0,10,98,179
0,10,111,193
0,10,100,202
0,10,88,189
0,11,29,3
0,11,27,6
0,11,20,3
0,11,29,3
0,12,161,235
0,12,171,226
0,12,171,245
0,12,161,235
0,13,169,50
0,13,171,51
0,13,171,71
0,13,161,66
0,13,169,50
0,14,31,230
0,14,45,219
0,14,51,226
0,14,37,237
0,14,31,230
0,15,139,372
0,15,151,361
0,15,166,376
0,15,155,388
0,15,139,372
0,16,106,297
0,16,116,288
0,16,125,297
0,16,116,307
0,16,106,297
0,17,34,178
0,17,42,173
0,17,48,181
0,17,40,186
0,17,34,178
0,18,94,375
0,18,105,365
0,18,118,379
0,18,106,389
0,18,94,375
0,19,141,259
0,19,152,249
0,19,164,262
0,19,153,272
0,19,141,259
0,20,28,249
0,20,41,238
0,20,51,250
0,20,38,261
0,20,28,249
0,21,114,348
0,21,123,338
0,21,140,355
0,21,130,364
0,21,114,348
0,22,2,229
0,22,14,242
0,22,4,251
0,22,2,248
0,22,2,229
0,23,1,159
0,23,5,163
0,23,1,167
0,23,1,159
0,24,33,117
0,24,43,108
0,24,53,118
0,24,42,128
0,24,33,117
0,25,71,311
0,25,83,301
0,25,89,307
0,25,77,318
0,25,71,311
0,26,36,367
0,26,47,356
0,26,54,364
0,26,43,375
0,26,36,367
0,27,3,91
0,27,15,81
0,27,31,98
0,27,20,109
0,27,3,91
0,28,126,12
0,28,131,2
0,28,136,2
0,28,145,7
0,28,138,19
0,28,126,12
0,29,3,364
0,29,6,367
0,29,3,369
0,29,3,364
0,30,19,374
0,30,31,366
0,30,42,379
0,30,31,387
0,30,19,374
0,31,46,18
0,31,54,3
0,31,66,3
0,31,69,4
0,31,60,24
0,31,46,18
0,32,150,132
0,32,161,122
0,32,171,132
0,32,171,140
0,32,163,147
0,32,150,132
0,33,52,3
0,33,52,4
0,33,49,3
0,33,52,3
0,34,90,143
0,34,97,137
0,34,111,156
0,34,104,162
0,34,90,143
0,35,52,224
0,35,63,214
0,35,71,223
0,35,61,233
0,35,52,224
0,36,127,339
